Length	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	127	0	0	0
5	0	0	0	15	240	56	86	17	0	117	445	232	1090	34	0	84	234	31	96	1384	57	263	417	NA	712	421	1580.7	153.7	0
6	0	0	0	0	256	359	330	0	251	481	937	915	2427	85	133	1418	512	641	624	1110	318	1405	4539	NA	2832	735	16181	498.9	235.7
7	203	0	0	0	138	88	395	39	50	673	755	873	2185	61	162	1831	2222	2359	318	1405	727	926	2902	NA	35136	499	19057.6	3651.7	743.2
8	1298	0	0	0	111	72	386	47	37	602	2114	1614	2714	620	908	466	2914	2745	871	3377	878	2332	4879	NA	86942	6970	2504.5	6102.7	903.6
9	1236	0	0	0	241	146	468	252	421	620	3146	1275	2095	1280	2236	829	8313	2359	3452	3788	2878	6976	5697	NA	33864	22014	1713.4	6281.7	1910.7
10	7263	0	93	31	292	250	306	214	171	388	4323	1129	2855	1719	1574	1458	8498	4100	9932	4676	2265	9925	5439	NA	5654	50160	4045.4	4354.9	3121.6
11	22235	371	63	31	213	349	249	203	402	215	2846	2840	1839	1046	3957	1709	7527	5543	5206	6612	1841	8539	8460	NA	2409	12041	13016	2124.4	2681.4
12	62419	62	372	0	241	106	175	275	786	202	1266	2255	1123	1131	9942	3083	6352	4861	4025	7947	1925	6516	12917	NA	1685	7325	19814.3	4471.4	2578
13	109337	3189	457	335	304	274	366	596	868	320	1056	2072	1488	1436	11090	3970	5871	27297	9473	10315	3250	5463	12133	NA	1763	1941	21313.7	6333.9	3482.6
14	33876	27936	1775	551	513	1419	728	912	2472	587	445	2545	1451	1015	10309	8256	9046	28768	20311	11133	4187	6377	15089	NA	2479	970	19947	8870.3	4767
15	14030	104298	1333	2362	967	722	1104	1768	1548	3635	407	1884	1929	538	8461	13286	21881	23691	17750	8561	8268	5234	28083	NA	3107	1493	9834.2	9630.8	9889.6
16	7809	113966	3259	3697	1611	919	1405	4159	717	4671	11018	2159	8240	879	6083	20912	40243	116528	35720	12943	14606	3150	12974	NA	3043	1134	8193.6	8954.8	15946
17	7860	106448	5283	12985	9645	825	1848	8155	1144	5480	31421	4694	15193	1984	5713	27177	51164	228751	138765	18474	46427	9778	15860	NA	4208	1105	7944.6	7670.9	46786.2
18	16191	95896	8707	28684	37932	2227	2095	12225	3185	7035	57695	9082	25813	5468	7248	23009	43358	221311	396982	77810	103647	24081	34943	NA	4920	1136	8079.5	5001.2	58102.9
19	32214	71577	6425	29295	72192	5062	8438	17373	6536	11926	74228	13661	38672	8222	10928	24342	35091	141084	421539	269160	432556	116751	92467	NA	28086	3178	15464.6	2345.5	61906
20	27189	113846	3906	15292	78316	6479	21672	46005	9068	31680	80538	12568	45262	9790	15982	26793	45870	78263	279787	459453	996936	315398	109915	NA	96233	16383	41884.4	6548.6	36930.8
