Length	P1	P2
5	0	0.01
6	0	0.015
7	0	0.02
8	0	0.02
9	0	0.025
10	0	0.03
11	0	0.035
12	0	0.035
13	0.01	0.045
14	0.01	0.055
15	0.01	0.06
16	0.015	0.07
17	0.02	0.085
18	0.03	0.095
19	0.04	0.11
20	0.05	0.125
21	0.065	0.145
22	0.085	0.17
23	0.11	0.195
24	0.145	0.22
25	0.185	0.245
26	0.235	0.275
27	0.3	0.31
28	0.36	0.345
29	0.435	0.38
30	0.51	0.42
31	0.585	0.46
32	0.655	0.5
33	0.72	0.535
34	0.78	0.575
35	0.83	0.61
36	0.865	0.65
37	0.895	0.68
38	0.925	0.715
39	0.945	0.745
40	0.955	0.775
41	0.965	0.8
42	0.975	0.82
43	0.98	0.845
44	0.99	0.86
45	0.99	0.885
46	0.99	0.9
47	0.99	0.91
48	1	0.92
49	1	0.93
50	1	0.945
51	1	0.95
52	1	0.96
53	1	0.96
