Length	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1	0	0	1	2	0.3	0	23	4	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.2	3	13	3	5	18	13	60	48	0	0	0
12	12	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0.2	10	30	21	14	17	37	202	96	0	0	1
13	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.1	23	49	69	30	133	94	198	223	0	0	0
14	21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0.003	0	0.1	33	154	117	52	96	180	358	222	0	0	0
15	28	28	0	0	0	0	0	0	0	0	0	0	0	5	0	0	10	0	2.6	51	268	224	78	166	212	459	316	11	0	1
16	73	103	9	0	0	0	0	0	0	0	0	1	0.3	8	0	0	24	0	14	362	506	281	95	420	330	566	394	11	0	3
17	199	394	28	0	0	2	0	0	0	0.3	1	2	1	21	1	2	34	0	80	670	768	371	139	460	400	795	492	62	15	3
18	286	1034	412	0	5	2	0	0.01	1	0	1	1	1	44	2	4	65	0.3	103	747	935	430	201	793	576	1321	767	268	0	9
19	445	2157	1291	5	6	3	1	0.3	2	16	4	4	3	90	6	9	99	43	96	495	1383	766	426	1313	907	2032	962	255	109	31
20	720	3313	2375	0	16	14	4	2	13	47	6	18	14	151	15	11	182	143	43	357	1737	1253	890	2221	1880	3529	2093	489	731	166
21	1309	3780	2943	235	287	9	0	11	57	80	10	52	41	218	28	13	300	77	133	428	2284	1942	1564	3518	2891	5416	4042	799	3078	671
22	2081	4922	3600	714	683	65	6	17	151	150	26	102	81	269	35	11	347	149	239	475	3084	2545	2235	4913	3865	8176	6959	1368	5517	1928
23	3212	7340	4358	1141	594	64	17	34	277	128	46	118	101	277	41	16	340	212	303	552	2188	1959	1778	3468	3425	8021	7758	2346	7862	2966
24	4164	7575	5552	2565	708	99	9	64	296	120	85	114	132	258	54	35	210	170	253	311	1183	1099	1231	2335	2125	4873	5939	3251	7902	3124
25	5216	6944	4981	5237	944	100	9	98	248	178	195	114	154	261	85	61	147	221	224	268	831	593	992	1605	1510	3485	4980	3865	6523	3540
26	5560	5981	5145	5115	1297	277	12	118	221	318	364	126	204	309	157	138	111	206	138	271	769	450	746	1719	1118	2558	3693	4290	4429	3357
27	5410	6197	4579	5433	1404	330	35	144	218	555	546	170	248	324	190	181	99	134	81	193	584	371	670	1156	990	1534	2731	4366	3528	4035
28	5217	5322	4063	5004	1182	300	75	114	173	712	943	188	289	286	184	201	88	521	32	194	580	462	646	1270	1066	1602	2309	3828	2662	3818
29	4712	3354	4637	4437	1188	263	76	114	154	673	1003	179	289	245	184	223	62	425	42	140	490	445	620	642	916	1477	1514	2813	1927	3736
30	4751	4043	3911	3283	1011	310	182	114	120	520	1027	236	294	225	178	176	60	368	44	96	416	434	714	691	1159	1757	1326	2221	1193	3840
31	4551	2695	3711	2964	912	313	197	154	129	413	564	289	295	204	107	109	35	335	31	64	296	608	691	864	975	1415	772	1635	610	2570
32	3943	2478	2187	2313	944	309	98	146	119	434	315	303	276	189	108	91	28	594	37	49	276	674	641	598	862	1207	615	1367	412	2125
33	3082	1582	1355	2291	596	226	67	131	110	383	237	298	216	196	95	83	19	316	58	40	242	535	681	517	673	843	412	1583	340	1571
34	2737	1179	1569	1527	526	189	30	71	66	268	217	218	132	149	73	71	17	252	83	37	215	223	392	304	438	539	203	1082	146	921
35	2100	928	1604	1059	363	182	35	24	19	141	129	212	83	112	51	63	10	124	62	11	208	170	265	141	345	511	158	896	69	873
36	1681	831	1895	923	202	106	23	19	18	89	60	121	37	62	36	56	5	110	39	13	137	85	157	167	222	315	90	524	11	522
37	1416	580	1571	766	196	160	7	14	11	82	78	82	18	41	17	31	2	4	31	2	70	46	101	70	123	153	43	262	7	303
38	1128	482	1303	807	158	171	5	10	8	51	50	55	11	22	10	15	1	2	12	1	69	54	105	48	122	91	33	132	0	196
39	729	363	1114	489	124	100	11	3	3	37	47	30	3	14	9	8	0.01	23	9	2	32	19	40	16	57	25	21	36	0	120
40	458	292	790	505	69	144	2	4	3	23	23	18	2	7	5	8	0.3	22	1	0.4	17	17	33	5	48	29	5	28	0	21
41	321	188	558	320	49	63	3	1	2	19	12	10	1	2	2	4	0.003	0.4	1	0.5	7	10	20	6	26	33	5	0	0	12
42	255	117	420	306	23	1	1	1	0.1	13	15	7	2	3	1	2	0.003	0.2	0	1	3	5	11	4	10	4	2	0	0	8
43	227	68	203	137	15	3	2	2	0.1	3	9	4	2	2	2	6	0	0.5	3	0.02	0.1	5	7	4	2	4	2	0	0	7
44	157	83	85	175	7	3	2	1	1	3	1	3	1	2	1	3	0	0.1	0.05	0.2	0	0	2	0	1	3	0.4	0	0	3
45	84	33	76	107	1	3	2	0.1	0	0	2	1	0	0.1	1	1	0	0.1	1	0.3	0	0	1	0	0	0	1	0	0	1
46	58	8	32	9	3	0	0	0.1	0	0.2	1	1	0	2	0.2	0.3	0	0	0	0.1	0	0	0.4	0	0	1	0.1	0	0	0.4
47	24	0	9	47	0.2	0	0	0	0	0	0.5	0.2	0	0.04	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
48	11	2	8	5	0	3	0	0.1	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	6	0	1	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.2	0	0	0
51	1	25	0	0	2	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0
52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0
53	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0
54	2	0	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
