Year	a	b   
1990	0.1115	2.4353
1991	0.1115	2.4353
1992	0.1115	2.4353
1993	0.1115	2.4353
1994	0.1115	2.4353
1995	0.1115	2.4353
1996	0.1115	2.4353
1997	0.1115	2.4353
1998	0.1115	2.4353
1999	0.0689	2.5588
2000	0.0979	2.4602
2001	0.0769	2.5298
2002	0.0447	2.6885
2003	0.0095	3.1279
2004	0.0208	2.8851
2005	0.0208	2.8851
2006	0.0611	2.5597
2007	0.0207	2.8946
2008	0.0207	2.8946
2009	0.0207	2.8946
2010	0.0214	2.8659
2011	0.0214	2.8659
2012	0.0214	2.8659
2013	0.036	2.6998
2014	0.0462	2.588
2015	0.0116	3.019
2016	0.029	2.7011
2017	0.0279	2.7896
2018	0.0069	3.2255
2019	0.0305	2.7598
