Year	Catch	TAC
1959	44585	NA
1960	26562	NA
1961	23175	NA
1962	21439	NA
1963	27362	NA
1964	10261	NA
1965	23466	NA
1966	16974	NA
1967	27188	NA
1968	17660	NA
1969	24750	NA
1970	14419	NA
1971	34370	NA
1972	28933	NA
1973	33297	NA
1974	22286	28000
1975	17871	20000
1976	20513	20000
1977	16516	16000
1978	12043	16000
1979	14067	18000
1980	16030	25000
1981	24280	25000
1982	21547	25000
1983	19747	25000
1984	14761	25000
1985	20557	25000
1986	42805	25000
1987	79031	25000
1988	53266	25000
1989	33649	25000
1990	29105	25000
1991	25815	14000
1992	27283	14000
1993	21308	14000
1994	5741	14000
1995	1989	14000
1996	451	11000
1997	630	11000
1998	899	0
1999	2318	0
2000	3141	0
2001	1442	0
2002	1216	0
2003	1334	0
2004	637	0
2005	659	0
2006	496	0
2007	1664	0
2008	597	0
2009	1051	0
2010	4120	3500
2011	3672	6000
2012	4316	6000
2013	6232	6500
2014	5695	6500
2015	9940	10400
2016	8686	10400
2017	11815	14200
2018	11279	14200
2019	13050	18100
