year,age,n_otolith,mean
1972,1,2,13.991
1972,2,8,23.223
1972,3,9,31.541
1972,4,16,41.113
1972,5,14,51.98
1972,6,17,58.639
1972,7,26,62.774
1972,8,26,74.227
1972,9,21,82.267
1972,10,18,90.604
1972,11,8,95.037
1972,12,6,88.337
1972,13,3,102.186
1972,14,6,98.716
1972,15,3,97.385
1972,16,4,114.421
1972,17,5,114.222
1972,18,3,123.559
1972,19,1,111
1972,20,1,141
1972,21,1,108
1973,1,4,11.625
1973,2,11,22.519
1973,3,11,31.787
1973,4,18,39.636
1973,5,22,50.188
1973,6,10,56.558
1973,7,20,62.288
1973,8,17,66.099
1973,9,27,68.504
1973,10,14,81.072
1973,11,4,88.457
1973,12,4,87.585
1973,13,1,100
1973,14,2,93.31
1973,15,1,110
1973,16,3,118.474
1973,17,3,116.64
1973,18,5,127.763
1973,24,1,131
1974,1,7,12.154
1974,2,12,21.725
1974,3,15,33.326
1974,4,14,43.484
1974,5,20,51.002
1974,6,26,55.705
1974,7,23,63.631
1974,8,24,71.131
1974,9,23,69.394
1974,10,19,79.371
1974,11,7,94.045
1974,12,6,95.645
1974,13,4,101.824
1974,14,6,111.101
1974,15,1,116
1974,16,3,101.338
1974,17,1,131
1974,18,1,124
1974,19,1,128
1974,22,1,125
1975,1,6,12.66
1975,2,14,23.141
1975,3,20,35.352
1975,4,26,44.71
1975,5,24,55.595
1975,6,22,61.322
1975,7,24,66.482
1975,8,19,74.397
1975,9,18,74.162
1975,10,9,75.227
1975,11,5,76.173
1975,12,2,107.185
1975,13,3,92.254
1975,15,1,110
1975,17,1,104
1975,20,1,131
1976,1,9,13.026
1976,2,17,22.932
1976,3,21,35.558
1976,4,20,48.393
1976,5,23,57.857
1976,6,20,64.824
1976,7,14,68.171
1976,8,21,71.807
1976,9,8,78.398
1976,10,5,81.729
1976,11,6,94.697
1976,12,2,110.532
1976,15,2,109.309
1976,17,1,137
1976,18,1,122
1976,19,1,143
1977,1,1,11
1977,2,6,20.359
1977,3,23,31.888
1977,4,22,43.394
1977,5,27,55.483
1977,6,25,63.575
1977,7,17,74.205
1977,8,13,75.399
1977,9,14,87.982
1977,10,9,83.769
1977,11,2,77.321
1977,12,4,87.945
1977,13,4,110.014
1977,14,1,82
1977,15,2,109.465
1977,18,1,133
1977,20,2,132.252
1978,2,8,19.558
1978,3,9,28.005
1978,4,20,36.102
1978,5,22,48.215
1978,6,19,58.913
1978,7,18,66.019
1978,8,17,70.432
1978,9,11,84.256
1978,10,8,86.29
1978,11,5,88.524
1978,12,2,79.282
1978,13,2,82
1978,15,2,92.892
1978,17,1,113
1978,19,1,147
1978,22,1,140
1979,1,9,10.79
1979,2,9,22.225
1979,3,14,33.044
1979,4,18,42.824
1979,5,32,47.727
1979,6,33,55.661
1979,7,27,70.476
1979,8,29,76.481
1979,9,15,85.855
1979,10,14,95.318
1979,11,4,94.695
1979,12,1,116
1979,13,2,113.844
1979,14,3,106.118
1980,1,3,14.453
1980,2,15,21.018
1980,3,21,28.027
1980,4,13,43.339
1980,5,23,50.714
1980,6,26,58.518
1980,7,23,71.392
1980,8,28,84.866
1980,9,12,94.86
1980,10,9,97.808
1980,11,10,96.951
1980,12,10,106.639
1980,13,4,110.807
1980,15,2,113.512
1980,16,2,123.501
1980,17,1,133
1981,1,2,14.64
1981,2,10,22.427
1981,3,19,32.275
1981,4,17,44.329
1981,5,19,50.504
1981,6,27,58.747
1981,7,31,63.379
1981,8,21,70.145
1981,9,27,72.653
1981,10,11,83.359
1981,11,4,97.803
1981,12,6,90.225
1981,13,4,113.15
1981,14,3,101.183
1981,15,1,109
1981,16,2,118
1981,17,1,122
1981,20,2,123.128
1982,1,9,13.197
1982,2,18,22.096
1982,3,13,33.245
1982,4,21,45.153
1982,5,22,53.465
1982,6,21,59.524
1982,7,29,66.643
1982,8,35,70.198
1982,9,21,75.631
1982,10,12,90.603
1982,11,7,98.551
1982,12,3,105.173
1982,13,2,104.828
1982,14,2,96.015
1982,15,2,122.995
1982,16,2,113.94
1983,1,7,10.286
1983,2,13,20.167
1983,3,23,31.199
1983,4,17,43.054
1983,5,25,52.926
1983,6,26,57.763
1983,7,17,65.597
1983,8,32,71.479
1983,9,38,73.375
1983,10,36,79.418
1983,11,30,89.582
1983,12,16,93.733
1983,13,8,106.567
1983,14,6,112.425
1983,15,6,116.019
1983,16,6,121.084
1983,17,1,113
1983,18,3,132.696
1983,19,2,128.514
1983,20,2,122.688
1983,21,2,123.196
1983,23,1,142
1984,1,1,12
1984,2,9,19.162
1984,3,14,30.691
1984,4,19,42.124
1984,5,18,52.237
1984,6,31,60.724
1984,7,29,66.228
1984,8,16,70.609
1984,9,24,75.525
1984,10,29,79.122
1984,11,12,84.15
1984,12,9,98.125
1984,13,5,91.113
1984,14,3,112.381
1984,16,3,120.08
1984,18,3,131.475
1984,21,1,138
1985,1,2,.
1985,2,10,17.949
1985,3,17,29.09
1985,4,22,40.284
1985,5,24,51.241
1985,6,23,60.202
1985,7,31,66.443
1985,8,30,74.178
1985,9,18,73.939
1985,10,26,79.352
1985,11,25,88.934
1985,12,28,93.033
1985,13,17,99.121
1985,14,9,112.251
1985,15,3,105.739
1985,16,3,119.824
1985,17,5,121.535
1985,18,2,131
1985,21,2,136.787
1985,22,1,134
1986,1,1,11
1986,2,8,18.789
1986,3,14,27.137
1986,4,23,40.318
1986,5,28,48.956
1986,6,30,55.739
1986,7,28,62.097
1986,8,33,72.237
1986,9,31,76.432
1986,10,19,82.807
1986,11,15,93.274
1986,12,19,93.901
1986,13,13,99.861
1986,14,9,111.68
1986,15,7,112.04
1986,16,4,123.167
1986,17,3,125.001
1986,20,1,128
1987,1,4,10.678
1987,2,9,19.894
1987,3,15,29.54
1987,4,17,39.486
1987,5,25,48.41
1987,6,27,54.076
1987,7,33,61.154
1987,8,35,67.258
1987,9,32,77.817
1987,10,17,85.42
1987,11,13,83.173
1987,12,13,89.853
1987,13,17,97.115
1987,14,16,100.585
1987,15,6,108.845
1987,16,6,119.275
1987,17,6,126.71
1987,18,5,125.423
1987,19,2,119.217
1987,20,2,129.324
1987,21,2,125.711
1987,22,1,140
1987,23,1,121
1987,25,1,132
1988,1,3,9.209
1988,2,10,19.679
1988,3,17,29.046
1988,4,20,40.691
1988,5,20,47.754
1988,6,30,56.196
1988,7,36,62.218
1988,8,35,66.709
1988,9,30,74.566
1988,10,28,79.685
1988,11,29,79.725
1988,12,25,87.54
1988,13,19,99.606
1988,14,17,99.95
1988,15,14,111.386
1988,16,13,108.149
1988,17,2,116.87
1988,18,1,130
1988,19,1,121
1988,20,2,134.685
1989,1,3,12
1989,2,12,19.208
1989,3,20,30.21
1989,4,21,41.728
1989,5,21,48.15
1989,6,24,56.262
1989,7,34,64.043
1989,8,38,71.822
1989,9,30,75.927
1989,10,23,84.644
1989,11,31,88.466
1989,12,13,96.609
1989,13,11,100.204
1989,14,7,100.44
1989,15,9,100.703
1989,16,7,110.526
1989,17,5,120.592
1989,18,3,119.259
1989,19,2,121.082
1989,20,2,113.609
1989,24,1,135
1990,2,5,19.893
1990,3,17,29.904
1990,4,22,40.131
1990,5,25,48.292
1990,6,24,53.678
1990,7,25,56.641
1990,8,32,62.279
1990,9,23,70.08
1990,10,20,76.156
1990,11,14,79.092
1990,12,11,88.744
1990,13,8,86.716
1990,14,7,93.047
1990,15,1,119
1990,16,3,114.648
1990,17,1,89
1990,18,1,112
1990,19,1,120
1991,1,6,9.545
1991,2,14,19.246
1991,3,14,29.813
1991,4,22,38.959
1991,5,28,47.013
1991,6,26,53.469
1991,7,29,57.436
1991,8,31,62.775
1991,9,30,68.162
1991,10,27,73.697
1991,11,24,73.814
1991,12,12,77.139
1991,13,10,84.489
1991,14,6,84.539
1991,15,7,103.76
1991,16,4,106.941
1991,17,3,104.503
1991,18,2,111.893
1991,19,1,86
1992,2,6,20.659
1992,3,18,30.436
1992,4,19,40.948
1992,5,26,47.381
1992,6,31,55.282
1992,7,32,61.177
1992,8,26,62.353
1992,9,18,66.717
1992,10,20,73.333
1992,11,10,83.899
1992,12,6,81.753
1992,13,1,85
1992,14,1,104
1992,15,4,94.549
1992,16,1,101
1993,3,16,30.941
1993,4,21,41.263
1993,5,21,48.045
1993,6,30,52.654
1993,7,28,62.251
1993,8,17,70.577
1993,9,10,77.122
1993,10,4,80.165
1993,11,8,96.023
1993,12,1,106
1993,13,1,97
1993,14,1,97
1993,15,2,103.832
1993,16,1,118
1993,17,1,122
1994,2,8,19.085
1994,3,14,32.169
1994,4,20,39.393
1994,5,31,48.184
1994,6,26,50.21
1994,7,30,53.677
1994,8,30,59.118
1994,9,10,67.978
1994,10,10,87.735
1994,11,4,79.682
1994,12,6,90.461
1994,13,3,92.81
1994,14,3,92.586
1994,16,1,116
1994,17,1,100
1995,2,3,21.217
1995,3,11,29.915
1995,4,15,41.958
1995,5,25,50.388
1995,6,36,56.49
1995,7,30,58.211
1995,8,37,57.869
1995,9,34,62.993
1995,10,14,79.584
1995,11,10,81.252
1995,12,2,83.579
1995,13,5,97.911
1995,14,6,90.724
1995,15,2,105.225
1995,23,1,125
1996,1,10,12.598
1996,2,12,20.815
1996,3,19,29.965
1996,4,22,38.651
1996,5,16,44.208
1996,6,27,52.91
1996,7,41,60.92
1996,8,27,61.163
1996,9,21,63.29
1996,10,10,76.77
1996,11,10,74.735
1996,12,2,86.091
1997,1,8,12.704
1997,2,16,24.08
1997,3,18,31.829
1997,4,16,40.928
1997,5,14,48.199
1997,6,16,51.645
1997,7,21,60.735
1997,8,18,65.424
1997,9,11,67.297
1997,10,5,67.257
1997,11,2,82.507
1998,1,8,10.553
1998,2,13,22.313
1998,3,18,32.761
1998,4,22,42.652
1998,5,21,49.119
1998,6,17,53.346
1998,7,18,57.593
1998,8,33,67.143
1998,9,39,77.439
1998,10,13,77.203
1998,11,5,64.321
1998,12,1,78
1999,1,8,12.045
1999,2,19,22.422
1999,3,26,31.414
1999,4,19,43.202
1999,5,29,51.417
1999,6,28,58.905
1999,7,27,61.701
1999,8,15,66.15
1999,9,30,77.565
1999,10,29,86.789
1999,11,6,76.855
1999,12,2,109.019
1999,13,1,65
2000,1,10,13.291
2000,2,14,21.968
2000,3,22,31.668
2000,4,19,40.841
2000,5,19,48.847
2000,6,24,54.683
2000,7,26,60.513
2000,8,27,65.258
2000,9,18,67.866
2000,10,19,81.15
2000,11,28,92.708
2000,12,11,89.052
2000,14,1,98
2001,1,9,10.555
2001,2,13,21.911
2001,3,22,33.235
2001,4,25,40.625
2001,5,18,47.558
2001,6,20,51.372
2001,7,24,57.434
2001,8,23,68.787
2001,9,20,77.49
2001,10,11,75.019
2001,11,12,85.451
2001,12,26,96.799
2001,13,3,90.669
2001,14,3,94.541
2001,15,1,93
2001,16,2,106.787
2002,1,10,11.983
2002,2,13,21.983
2002,3,14,31.762
2002,4,22,42.026
2002,5,18,50.759
2002,6,21,55.052
2002,7,18,55.156
2002,8,25,67.154
2002,9,19,74.635
2002,10,15,79.756
2002,11,3,73.442
2002,12,9,85.953
2002,13,12,93.953
2002,14,1,104
2003,1,11,10.694
2003,2,14,23.72
2003,3,15,31.903
2003,4,15,42.961
2003,5,24,51.806
2003,6,27,55.353
2003,7,15,58.626
2003,8,10,58.717
2003,9,14,70.542
2003,10,7,72.034
2003,11,6,65.514
2003,12,3,86.607
2003,13,7,77.052
2003,14,1,104
2003,15,1,106
2004,1,6,14.043
2004,2,14,20.179
2004,3,20,33.693
2004,4,16,38.886
2004,5,21,47.634
2004,6,31,60.823
2004,7,33,66.304
2004,8,18,69.167
2004,9,12,67.267
2004,10,11,69.619
2004,11,13,73.208
2004,12,3,73.5
2004,13,1,73
2004,14,1,112
2004,15,2,109.651
2005,1,10,12.064
2005,2,14,25.536
2005,3,21,34.197
2005,4,19,41.853
2005,5,18,48.556
2005,6,18,54.483
2005,7,26,63.518
2005,8,28,67.642
2005,9,15,72.294
2005,10,3,72.634
2005,11,11,99.232
2005,12,6,103.381
2005,13,2,100.177
2005,14,2,111.62
2005,15,6,106.01
2005,16,9,109.064
2007,1,11,11.101
2007,2,15,21.152
2007,3,22,30.703
2007,4,23,38.096
2007,5,24,48.893
2007,6,20,54.911
2007,7,15,55.803
2007,8,13,64.916
2007,9,23,81.722
2007,10,21,91.615
2007,11,9,86.911
2007,12,7,86.559
2007,13,7,103.037
2007,14,5,109.907
2007,15,1,84
2007,16,1,102
2007,17,1,119
2008,1,6,11.678
2008,2,14,18.398
2008,3,22,26.616
2008,4,28,38.521
2008,5,25,45.864
2008,6,21,53.001
2008,7,24,60.154
2008,8,16,59.443
2008,9,7,66.92
2008,10,12,68.191
2008,11,10,90.045
2008,12,5,94.119
2008,13,4,94.04
2008,14,1,110
2008,16,1,121
2009,1,6,12.348
2009,2,15,19.067
2009,3,26,31.343
2009,4,23,38.745
2009,5,24,46.658
2009,6,27,55.013
2009,7,26,60.499
2009,8,23,63.492
2009,9,9,72.265
2009,10,4,75.982
2009,11,9,83.288
2009,12,19,87.167
2009,13,10,93.89
2009,14,1,81
2009,16,2,92.408
2010,1,11,11.771
2010,2,14,22.706
2010,3,17,30.453
2010,4,24,40.436
2010,5,24,45.635
2010,6,24,55.014
2010,7,25,65.765
2010,8,12,70.945
2010,9,6,75.229
2010,10,2,81.088
2010,11,3,92.596
2010,12,7,103.101
2010,13,1,91
2010,20,1,116
2011,1,5,14.005
2011,2,16,23.522
2011,3,23,30.228
2011,4,13,40.082
2011,5,25,47.091
2011,6,21,49.515
2011,7,32,56.133
2011,8,15,61.705
2011,9,7,73.79
2011,10,3,53.2
2011,12,2,75.463
2011,13,1,73
2011,14,1,108
2012,1,10,11.093
2012,2,20,18.593
2012,3,31,34.154
2012,4,29,41.746
2012,5,24,48.056
2012,6,35,55.755
2012,7,28,53.854
2012,8,30,60.961
2012,9,8,72.192
2012,10,8,73.78
2012,11,1,105
2012,12,1,107
2012,14,1,108
2012,15,3,111.758
2012,18,1,95
2013,1,9,12.316
2013,2,18,20.375
2013,3,20,27.912
2013,4,28,41.902
2013,5,20,47.663
2013,6,14,47.806
2013,7,25,53.351
2013,8,17,53.981
2013,9,17,63.672
2013,10,5,55.442
2013,11,1,97
2013,12,2,95.909
2013,14,2,98.441
2014,1,8,10.607
2014,2,12,20.92
2014,3,21,30.212
2014,4,21,35.045
2014,5,21,47.799
2014,6,22,53.438
2014,7,11,54.494
2014,8,27,63.172
2014,9,16,65.008
2014,10,2,59.32
2014,12,1,80
2014,14,1,104
2015,1,6,11.871
2015,2,15,20.897
2015,3,19,30.547
2015,4,26,39.813
2015,5,20,45.042
2015,6,25,53.758
2015,7,18,56.463
2015,8,9,55.977
2015,9,17,64.455
2015,10,3,72.447
2015,11,1,87
2016,1,9,12.168
2016,2,11,19.441
2016,3,20,29.669
2016,4,22,38.635
2016,5,29,45.263
2016,6,14,48.765
2016,7,15,55.685
2016,8,7,61.415
2016,9,1,57
2016,10,5,72.422
2016,11,1,96
2017,1,8,11.6966
2017,2,15,19.6044
2017,3,18,28.2192
2017,4,19,38.8467
2017,5,26,44.9127
2017,6,27,49.1016
2017,7,15,52.8142
2017,8,10,53.8278
2017,9,4,61.6737
2017,10,2,85.541
2017,11,2,72.3569
2018,1,11,12.4949
2018,2,15,21.7722
2018,3,19,31.3385
2018,4,19,38.1419
