year,age,n_otolith,mean
1978,2,1,0.0572
1978,3,1,0.1771
1978,4,1,0.3957
1978,5,1,0.9789
1978,6,1,1.7346
1978,7,1,2.3676
1978,8,1,3.1918
1978,9,1,4.6764
1978,10,1,5.711
1978,11,1,4.9011
1978,12,1,5.76
1978,19,1,29.51
1978,22,1,34.5
1979,1,1,0.0113
1979,2,1,0.0696
1979,3,1,0.2495
1979,4,1,0.6252
1979,5,1,0.8933
1979,6,1,1.6027
1979,7,1,3.1987
1979,8,1,4.8957
1979,9,1,5.7984
1979,10,1,7.1019
1979,11,1,9.03
1980,1,1,0.027
1980,2,1,0.0675
1980,3,1,0.1466
1980,4,1,0.6175
1980,5,1,1.0052
1980,6,1,1.6336
1980,7,1,3.4572
1980,8,1,5.7676
1980,9,1,8.3691
1980,10,1,8.2244
1980,11,1,9.0849
1980,12,1,10.1581
1980,13,1,11.3891
1980,15,1,13.0735
1980,16,1,20.49
1981,2,1,0.0604
1981,3,1,0.2646
1981,4,1,0.7043
1981,5,1,1.0786
1981,6,1,1.6734
1981,7,1,2.0805
1981,8,1,3.4957
1981,9,1,4.8899
1981,10,1,7.591
1981,11,1,8.3744
1981,12,1,11.4626
1981,13,1,15.2474
1981,14,1,9.105
1981,15,1,13.85
1981,16,1,17.235
1981,17,1,17.2
1981,20,1,20.6041
1982,1,1,0.04
1982,2,1,0.1034
1982,3,1,0.42
1982,4,1,0.8289
1982,5,1,1.2987
1982,6,1,1.5386
1982,7,1,2.5553
1982,8,1,2.6115
1982,9,1,4.0066
1982,10,1,6.4413
1982,11,1,8.8851
1982,12,1,13.0676
1982,13,1,16.29
1982,14,1,9.0408
1982,15,1,18.0731
1982,16,1,15.7167
1983,1,1,0.01
1983,2,1,0.0683
1983,3,1,0.2315
1983,4,1,0.718
1983,5,1,1.3013
1983,6,1,1.6522
1983,7,1,1.8611
1983,8,1,3.5546
1983,9,1,4.0417
1983,10,1,4.8956
1983,11,1,8.8478
1983,12,1,10.27
1983,13,1,15.0048
1983,14,1,14.0647
1983,15,1,16.7192
1983,16,1,21.5913
1983,17,1,18.5
1983,18,1,27.2473
1983,19,1,34.05
1983,20,1,18.95
1983,21,1,22.93
1983,23,1,29.94
1984,2,1,0.073
1984,3,1,0.2683
1984,4,1,0.632
1984,5,1,1.212
1984,6,1,1.853
1984,7,1,2.7897
1984,8,1,3.8281
1984,9,1,4.2251
1984,10,1,5.0293
1984,11,1,7.8663
1984,12,1,9.818
1984,13,1,11.7968
1984,14,1,19.1434
1984,16,1,18.6698
1984,18,1,27.9126
1984,21,1,26.33
1985,3,1,0.2136
1985,4,1,0.505
1985,5,1,1.0392
1985,6,1,1.566
1985,7,1,2.2792
1985,8,1,3.2063
1985,9,1,3.143
1985,10,1,3.76
1985,12,1,3.97
1986,2,1,0.0453
1986,3,1,0.1676
1986,4,1,0.4624
1986,5,1,0.9045
1986,6,1,1.3321
1986,7,1,2.3839
1986,8,1,3.3368
1986,9,1,5.023
1986,10,1,4.654
1986,11,1,6.6331
1986,12,1,8.8667
1986,13,1,12.4684
1986,14,1,13.4905
1986,15,1,13.39
1986,16,1,18.3767
1987,3,1,0.2479
1987,4,1,0.5378
1987,5,1,0.9502
1987,6,1,1.2725
1987,7,1,1.8851
1987,8,1,2.2967
1987,9,1,4.4825
1987,10,1,6.3438
1987,11,1,6.616
1987,12,1,5.9448
1987,13,1,8.397
1987,14,1,9.687
1987,17,1,26.81
1987,18,1,18.76
1987,19,1,14.36
1988,2,1,0.0578
1988,3,1,0.1931
1988,4,1,0.5817
1988,5,1,0.9154
1988,6,1,1.4939
1988,7,1,2.214
1988,8,1,2.423
1988,9,1,3.9426
1988,10,1,4.8393
1988,11,1,4.2615
1988,12,1,9.1034
1988,13,1,11.2716
1988,14,1,11.9607
1988,15,1,15.5325
1988,16,1,9.2514
1988,17,1,23.24
1988,18,1,22.14
1988,20,1,32.01
1989,2,1,0.0596
1989,3,1,0.2388
1989,4,1,0.6132
1989,5,1,0.9013
1989,6,1,1.3313
1989,7,1,2.361
1989,8,1,3.7779
1989,9,1,4.5051
1989,10,1,5.8198
1989,11,1,8.2848
1989,12,1,9.0607
1989,13,1,10.6808
1989,14,1,15.0357
1989,15,1,13.6156
1989,16,1,22.73
1989,17,1,16.3341
1989,18,1,18.0238
1989,19,1,20.9128
1989,20,1,15.95
1989,24,1,24.32
1990,2,1,0.0623
1990,3,1,0.2076
1990,4,1,0.5384
1990,5,1,0.9544
1990,6,1,1.3484
1990,7,1,1.6208
1990,8,1,2.1817
1990,9,1,3.0526
1990,10,1,4.2396
1990,11,1,4.8591
1990,12,1,7.353
1990,13,1,6.7173
1990,14,1,8.7585
1990,15,1,15.05
1990,16,1,16.0197
1990,17,1,6.22
1990,18,1,12.7
1990,19,1,17.25
1991,1,1,0.0123
1991,2,1,0.0538
1991,3,1,0.2167
1991,4,1,0.4645
1991,5,1,0.8652
1991,6,1,1.3235
1991,7,1,1.7019
1991,8,1,2.3458
1991,9,1,3.0866
1991,10,1,3.9556
1991,11,1,4.0499
1991,12,1,4.9063
1991,13,1,6.0992
1991,14,1,6.5917
1991,15,1,11.4224
1991,16,1,12.9491
1991,17,1,11.5048
1991,18,1,14.9125
1991,19,1,6.55
1992,2,1,0.0642
1992,3,1,0.2296
1992,4,1,0.5742
1992,5,1,0.8653
1992,6,1,1.4614
1992,7,1,2.0315
1992,8,1,2.2583
1992,9,1,2.8585
1992,10,1,3.9834
1992,11,1,5.7962
1992,12,1,5.2396
1992,13,1,5.92
1992,14,1,10.85
1992,15,1,8.6325
1992,16,1,10.9
1993,3,1,0.2195
1993,4,1,0.5504
1993,5,1,0.8937
1993,6,1,1.15
1993,7,1,1.9873
1993,8,1,3.0029
1993,9,1,4.2811
1993,10,1,4.4698
1993,11,1,8.6729
1993,12,1,13.2
1993,13,1,10.72
1993,14,1,10
1993,15,1,10.9869
1993,16,1,15.75
1993,17,1,19.15
1994,2,1,0.0525
1994,3,1,0.2537
1994,4,1,0.4599
1994,5,1,0.8979
1994,6,1,1.0443
1994,7,1,1.236
1994,8,1,1.8137
1994,9,1,2.8906
1994,10,1,6.45
1994,11,1,4.4695
1994,12,1,6.7483
1994,13,1,8.5246
1994,14,1,8.2054
1994,16,1,15.1
1994,17,1,9.45
1995,2,1,0.0622
1995,3,1,0.2117
1995,4,1,0.5405
1995,5,1,1.017
1995,6,1,1.5133
1995,7,1,1.6853
1995,8,1,1.5832
1995,9,1,2.2096
1995,10,1,4.7771
1995,11,1,5.4458
1995,12,1,5.5443
1995,13,1,8.7029
1995,14,1,7.5285
1995,15,1,11.3234
1995,23,1,14.9
1996,1,1,0.0183
1996,2,1,0.0721
1996,3,1,0.2182
1996,4,1,0.4608
1996,5,1,0.6726
1996,6,1,1.2834
1996,7,1,2.0087
1996,8,1,2.084
1996,9,1,2.1361
1996,10,1,4.4641
1996,11,1,3.8974
1996,12,1,6.7926
1997,1,1,0.0162
1997,2,1,0.1081
1997,3,1,0.2569
1997,4,1,0.5516
1997,5,1,0.8775
1997,6,1,1.0757
1997,7,1,1.9037
1997,8,1,2.6077
1997,9,1,2.8669
1997,10,1,3.0829
1997,11,1,5.4563
1998,1,1,0.0083
1998,2,1,0.0907
1998,3,1,0.283
1998,4,1,0.6605
1998,5,1,0.9413
1998,6,1,1.2742
1998,7,1,1.6398
1998,8,1,2.7909
1998,9,1,4.6595
