year	index	name
1982	1.03E+01	SPCORTR8c
1983	1.50E+01	SPCORTR8c
1984	1.18E+01	SPCORTR8c
1985	5.61E+00	SPCORTR8c
1986	8.71E+00	SPCORTR8c
1987	1.94E+01	SPCORTR8c
1988	1.37E+01	SPCORTR8c
1989	7.74E+00	SPCORTR8c
1990	6.49E+00	SPCORTR8c
1991	5.56E+00	SPCORTR8c
1992	5.41E+00	SPCORTR8c
1993	4.47E+00	SPCORTR8c
1994	3.89E+00	SPCORTR8c
1995	8.28E+00	SPCORTR8c
1996	9.05E+00	SPCORTR8c
1997	7.65E+00	SPCORTR8c
1998	1.09E+01	SPCORTR8c
1999	1.24E+01	SPCORTR8c
2000	9.55E+00	SPCORTR8c
2001	9.40E+00	SPCORTR8c
2002	3.74E+00	SPCORTR8c
2003	4.89E+00	SPCORTR8c
2004	3.63E+00	SPCORTR8c
2005	2.76E+00	SPCORTR8c
2006	4.69E+00	SPCORTR8c
2007	6.39E+00	SPCORTR8c
2008	8.69E+00	SPCORTR8c
2009	5.05E+00	SPCORTR8c
2010	8.75E+00	SPCORTR8c
2011	7.71E+00	SPCORTR8c
2012	8.17E+00	SPCORTR8c
1989	1.17E-03	PT.crust.tr
1990	1.41E-03	PT.crust.tr
1991	1.22E-03	PT.crust.tr
1992	1.32E-03	PT.crust.tr
1993	8.53E-04	PT.crust.tr
1994	6.37E-04	PT.crust.tr
1995	5.82E-04	PT.crust.tr
1996	7.03E-04	PT.crust.tr
1997	8.79E-04	PT.crust.tr
1998	1.45E-03	PT.crust.tr
1999	1.72E-03	PT.crust.tr
2000	1.56E-03	PT.crust.tr
2001	6.86E-04	PT.crust.tr
2002	7.54E-04	PT.crust.tr
2003	7.14E-04	PT.crust.tr
2004	1.07E-03	PT.crust.tr
2005	6.34E-04	PT.crust.tr
2006	8.01E-04	PT.crust.tr
2007	1.53E-03	PT.crust.tr
2008	1.50E-03	PT.crust.tr
2009	1.14E-03	PT.crust.tr
2010	1.75E-03	PT.crust.tr
2011	2.15E-03	PT.crust.tr
2012	2.26E-03	PT.crust.tr
2013	1.92E-03	PT.crust.tr
2014	3.52E-03	PT.crust.tr
2015	3.99E-03	PT.crust.tr
2016	5.05E-03	PT.crust.tr
1989	3.51E-03	PT.fish.tr
1990	4.29E-03	PT.fish.tr
1991	3.65E-03	PT.fish.tr
1992	3.97E-03	PT.fish.tr
1993	2.37E-03	PT.fish.tr
1994	1.50E-03	PT.fish.tr
1995	1.11E-03	PT.fish.tr
1996	1.62E-03	PT.fish.tr
1997	1.60E-03	PT.fish.tr
1998	3.16E-03	PT.fish.tr
1999	3.85E-03	PT.fish.tr
2000	4.04E-03	PT.fish.tr
2001	2.27E-03	PT.fish.tr
2002	2.00E-03	PT.fish.tr
2003	2.17E-03	PT.fish.tr
2004	1.90E-03	PT.fish.tr
2005	1.38E-03	PT.fish.tr
2006	1.73E-03	PT.fish.tr
2007	3.98E-03	PT.fish.tr
2008	3.56E-03	PT.fish.tr
2009	2.65E-03	PT.fish.tr
2010	2.37E-03	PT.fish.tr
2011	3.91E-03	PT.fish.tr
2012	4.73E-03	PT.fish.tr
2013	3.95E-03	PT.fish.tr
2014	3.45E-03	PT.fish.tr
2015	4.29E-03	PT.fish.tr
2016	5.30E-03	PT.fish.tr

