1960	125531
1961	135985
1962	147358
1963	157850
1964	170033
1965	191806
1966	217280
1967	236083
1968	213498
1969	203359
1970	176258
1971	144235
1972	113621
1973	88814
1974	71767
1975	68759
1976	64712
1977	72509
1978	92531
1979	100983
1980	112251
1981	102202
1982	91545
1983	102014
1984	128169
1985	138587
1986	145672
1987	130875
1988	124541
1989	115659
1990	73607
1991	48130
1992	27071
1993	16394
1994	6863
1995	7270
1996	10587
1997	11179
1998	12907
1999	13604
2000	17468
2001	20103
2002	19977
2003	21156
2004	19757
2005	17611
2006	15610
2007	14238
2008	13095
2009	12363
2010	11649
2011	12586
2012	12748
2013	12924
2014	12577
2015	12654
2016	15785
2017	18237
2018	17374
